0;5300461;6374408;5825431;7726383;6446543;6909908;6022656;2331611;3684037;3162426;5597916;1459252;6491861;5592245;6574119;6834361;3978485;5388810;8051829;
4641321;0;3245382;1006330;5964924;2090283;3872634;4906691;4518131;2568072;3157490;5062017;4069357;3510899;4411473;6123285;1826690;2957702;3791901;7600995;
5636592;3112702;0;3880839;4589858;2555183;1409095;3937560;5513402;3303158;4219129;4345361;5064628;5430942;3355616;4748219;3287088;3692788;2763417;6225929;
5021605;1062489;4024248;0;6743790;2585271;4651500;5568458;4898415;3229839;2773501;5723784;4449641;3823812;5138047;6836885;2139603;3619469;4570767;8314595;
6686866;5559926;4455344;6291103;0;5289655;3942758;3327383;6563676;4183065;5913611;3735184;6114902;8165414;3402710;4014158;6021560;4170329;2799106;4402637;
5720361;1884845;2585066;2436335;5523193;0;3212318;4870895;5597171;3386927;4302898;5278696;5148397;3300023;4288951;5681554;1156169;3776557;3696752;7159264;
6095402;3608472;1292933;4339649;3752705;3178660;0;4211716;5972212;3761968;4677939;4619517;5523438;6054419;3629772;5022375;3910565;4067173;3037573;6500085;
4833324;4190618;4138332;4921795;4066487;4972643;4410884;0;4075350;1695775;4060069;646252;4261360;6585991;1226817;1785764;5704548;1705896;1829329;3263474;
2369366;5099900;6173847;5650668;7525822;6245982;6709347;4937067;0;3483476;2968449;4255502;1392119;6304138;5225465;5231705;6633800;3524333;5188249;6709415;
3173930;2531224;3450989;3262401;4802964;3523124;3986489;2419764;3050740;0;2400675;2575090;2601966;4926597;1989353;3688191;4065124;470775;2117135;5165901;
2878574;3456003;4938333;3382638;6964773;5010468;5473833;5261046;2755384;2922427;0;5199573;2306610;4036108;4830635;6175776;4382622;3312057;4627200;7653486;
4833365;4983518;4794916;5714695;4498305;5629227;5067468;926965;3689801;2488675;4777029;0;4261401;7378891;2019717;1846945;6361132;2498796;2622229;3324655;
1565669;5120906;6194853;5665090;7546828;6266988;6730353;5843101;1639519;3504482;2982871;5296476;0;6318560;5412690;6272679;6654806;3798930;5209255;7750389;
6059719;3738007;5915992;4043973;8854119;3745892;6543244;7520133;5936529;5181514;3811615;7675459;5487755;0;7089722;8788560;2721181;5571144;6886287;10266270;
4950839;4308133;3546523;5039310;3848613;4380834;3819075;1731705;4755668;1813290;4177584;1887031;4378875;6703506;0;3000132;5112739;1823411;749253;4477842;
5727062;5810454;5141230;6541631;4532040;5975541;5413782;1619836;4583498;3315611;5670726;1810312;5155098;8205827;2846653;0;6707446;3325732;3256227;1633090;
6099241;1795877;3194811;2121852;6132938;1024711;3822063;5480640;5976051;3996672;3851137;5888441;5527277;2494123;4898696;6291299;0;4386302;4306497;7769009;
3647163;3004457;3924222;3735634;5109909;3996357;4459722;2551972;3360760;509614;2873908;2707298;3075199;5399830;2121561;3820399;4538357;0;2240236;5298109;
4733146;3718535;2979499;4449712;3335364;3813810;3252051;2303750;4609956;1726148;3959891;2459076;4161182;6485813;716760;3393845;4545715;1713412;0;4871555;
6961453;7044845;6375621;7776022;4468558;7209932;6648173;2854227;5817889;4550002;6905117;3044703;6389489;9440218;4081044;1384700;7941837;4560123;4490618;0;
