20 
50400000 
42;0;0;0;21600000;72000000
18468;17;4;1118545;39600000;54000000
26501;21;5;1568117;50400000;68400000
15725;13;3;1283331;32400000;57600000
29359;14;3;1460230;57600000;72000000
24465;12;3;1408466;21600000;61200000
28146;38;8;1522087;50400000;72000000
16828;17;4;499350;43200000;57600000
492;32;7;1066317;28800000;57600000
11943;31;7;1452399;32400000;68400000
5437;22;5;1591430;25200000;64800000
14605;3;1;908291;36000000;64800000
154;20;4;1171431;39600000;72000000
12383;28;6;1279551;36000000;50400000
18717;24;5;1102203;57600000;72000000
19896;27;6;1390934;21600000;68400000
21727;30;6;1132525;46800000;61200000
11539;37;8;1018191;46800000;57600000
19913;6;2;1169673;32400000;72000000
26300;0;38;0;21600000;72000000
