0;1945763;3573757;3802515;1994040;3211032;4011786;5833977;6352245;3934604;3613587;2524103;5305081;4276756;4634958;5559951;5092916;5638979;4644099;1863671;3879303;3440789;5058172;5245040;4882548;5957957;2540103;2409413;5907689;5227589;2420981;1935104;4382608;4325578;6813052;3163382;2755741;1332568;5999997;5036244;2791984;3524506;4913651;3458330;5107669;3524928;3789884;4387090;4792799;1053237;4380431;3632200;3370849;1063517;3913386;5072340;5713311;1710196;4933336;3712097;3814084;4536530;4428537;5626335;3442018;4337491;2748054;4760978;5942071;4796546;2904515;3738047;2831775;1697272;4086664;3971383;3833128;3459888;5188695;4793617;2084955;5354463;2457801;5060404;4836019;4922498;4275040;6002708;3260694;4764504;5232834;3876697;4208341;3400328;5691774;5541849;1164823;6094215;5259470;4715681;
2042969;0;2827953;4724306;2389933;4127979;4407679;4757287;5288887;2857914;2536897;1239596;4228391;5543076;4499343;4483261;6359236;4562289;4224297;2155154;2802613;2364099;3981482;4168350;5416503;4881267;2935996;2148332;6103027;6493909;2373921;1079465;5648928;3248888;6067248;4085173;4691376;1860156;4923307;3959554;3187877;2447816;3836961;2712526;4030979;3920821;2713194;3310400;5709746;2987589;3318350;4898520;3766742;3054362;4830333;4326536;5421697;2106089;6199656;3451016;4232865;3459840;3351847;6022228;3574370;5603811;2486973;5156871;5196267;4050742;3821462;2661357;2984361;2093165;5352984;2894693;2756438;2714084;4112005;4068250;3521978;4277773;2166035;6326724;4838907;4176694;5191987;5256904;3393046;5160397;4156144;2800007;3140246;3796221;4615084;4465159;1964323;7011162;4182780;3638991;
3709056;2806336;0;6418698;4084325;5822371;6102071;3322804;6727160;4311744;3730542;2085089;4083611;7237468;5953173;2106649;8053628;5715796;5678127;3953956;4256443;3557744;5435312;5521436;7110895;3143148;4630388;4306186;7556857;8188301;4511266;3237319;7343320;4123695;3325734;5779565;6385768;3554548;6276393;1644793;4882269;3703052;2081991;369126;2167892;5615213;3906839;4548910;7404138;4681981;862317;6592912;5461134;4090173;6524725;1585022;6875527;3800481;7894048;4990422;5927257;2913136;3023134;7716620;5207593;7298203;4644827;6851263;2454753;1309228;5515854;2928488;4922060;3787557;7047376;3853104;2691854;2074626;5276523;5522080;5216370;2058138;4323889;8021116;6292737;1435180;6886379;2515390;5026269;6854789;5309651;4055243;4594076;5490613;5968170;5918989;3640703;8705554;2410879;5092821;
4459875;4960706;6669259;0;2683930;1725811;2916734;8172098;5257193;4849547;5404801;5460064;7183300;4458824;3979542;7898072;4511984;5211659;3559392;4105553;4794246;5319008;4079028;4752695;1324171;8296078;2541679;3443505;4675533;4646657;3303368;4293164;3954349;5979795;9638140;1087625;3613312;4036046;5271877;7374365;1921369;4980725;7251772;6553832;7445790;2630530;5677710;5843309;2327839;4489382;7475933;3380013;1938816;4907089;1562149;8107664;4481155;3119301;4549107;4077312;1122963;6874651;6766658;3476367;3342678;4354750;3581797;3445155;9037573;7892048;1632031;6076168;3149844;3658824;4107646;6007248;6171249;6555390;4974771;3702971;3144864;7692584;3491893;4479472;3751430;7850799;2568822;9098210;3161354;2998656;4984002;5332916;4695735;1791641;5053908;4591166;5282113;4608994;7597591;4411109;
2195066;2377737;4086290;2459280;0;1862953;2345399;5589129;4685858;2621711;2821832;2877095;4600331;3278050;2968571;5315103;4094210;4380335;2977712;1522584;2566410;2736039;3503287;3932147;3354223;5713109;873716;860536;4241302;4228883;720399;1710195;3383902;3396826;7055171;1820147;2426350;1453077;4687104;4791396;1125597;2397756;4668803;3970863;4862821;1858541;3094741;3260340;3444720;2485084;4892964;2633494;1704462;3258583;2565307;5524695;4046924;536332;3934630;2163220;2170585;4291682;4183689;3959948;1775631;3338785;1031303;3094591;6454604;5309079;1556436;3493199;880504;1075855;3087958;3424279;3588280;3972421;3875802;3127230;1470246;5109615;908924;4061698;3169632;5267830;2926961;6515241;1594307;3098117;4044026;2749947;2713035;1733941;4378881;4015425;2699144;4746136;5014622;3230445;
3291458;3792289;5500842;1037496;1515513;0;2945902;7003681;5286361;4036263;4236384;4291647;6014883;2968393;4008710;6729655;3021553;5240827;3588560;2937136;3980962;4150591;4108196;4781863;1906843;7127661;2042996;2275088;4704701;3156226;2134951;3124747;2463918;4811378;8469723;931713;2387347;2867629;5301045;6205948;1993453;3812308;6083355;5385415;6277373;2659698;4509293;4674892;1774138;3320965;6307516;1889582;1967984;3738672;894725;6939247;4510323;1950884;3058676;3577772;1152131;5706234;5598241;3553334;3190183;2864319;2504047;3571210;7869156;6723631;795503;4907751;2353248;2490407;2617215;4838831;5002832;5386973;5003939;3732139;1976447;6524167;2323476;2989041;3780598;6682382;1299388;7929793;3008859;3500599;5013170;4164499;4127587;1820809;5083076;4620334;4113696;3118563;6429174;4440277;
4472789;4655460;6364013;2831972;2649423;3627411;0;6238994;2424325;2611445;4118065;4657562;4818049;5802566;1757073;6611336;5418125;2378791;726524;3800307;2567257;4032272;1246160;1919827;2761603;7009342;2334062;3070772;2326402;5552798;3025233;4015029;5254481;3544797;8351404;2989704;4950866;3730800;2439009;6087629;2044108;3693989;5965036;6248586;6159054;1127077;4390974;3069081;3310372;4797900;6911467;5158010;1231696;5536306;3736723;6820928;1922415;2814055;6188009;2291294;2147645;5587915;5107896;2511809;1777327;5863301;2910198;1646452;8024956;6738413;3559615;4789432;2706500;3353578;5612474;4652250;4884513;6250144;2141903;870103;3994762;6405848;3207664;5385613;1115737;6564063;3696944;8085593;1596003;1649978;2151134;3514946;2632868;1623087;2221040;1758298;4976867;5528120;6310855;1578241;
6877662;5582520;3722490;8854052;6519679;8257725;6885578;0;6005137;5305567;4833139;4915245;2585917;9672822;6900484;2492169;10488982;4993773;6093049;6841655;5464642;4414073;5497079;4799413;9343093;1902116;7089893;6136480;7863680;10623655;6362069;5673047;9778674;2886117;3244178;8214919;8821122;6492558;5554370;3187913;7341774;4195149;3278214;4074219;2703008;7181971;4716082;3835639;9839492;7619991;4150805;9028266;7730603;7795266;8960079;2007736;7307494;6419092;10329402;6198621;8386762;2060153;3041496;9351358;6415792;9733557;6475121;8486001;3731774;2741111;7951208;2981781;6972509;6304829;9482730;3910409;3431610;5779719;4554500;5937002;7865018;2819302;6154183;10456470;6707659;2768280;9321733;3792411;6234468;8489527;4587628;4369799;5802275;7950118;5246147;5313831;6890768;11140908;1091617;6231298;
6893282;5570345;7127962;5607048;5424499;6402487;2821105;5759588;0;3181769;4176581;5288016;4338643;8577642;2918567;6256057;8193201;1754890;2019114;6125013;3137581;3822260;1529853;1311432;5536679;6654063;5109138;4795589;2571343;8327874;5113800;5008666;8029557;3065391;7996125;5764780;7725942;6493483;528365;5715676;4819184;3537558;5593083;7454050;5787101;3902153;4646147;2589675;6085448;7561094;6661889;7933086;4006772;7956799;6511799;6465649;2438179;5527128;8963085;3613171;4922721;5232636;4628490;5286885;3604955;8638377;4813631;4421528;7653003;6366460;6334691;5154245;5095508;5412865;8387550;4172844;5514967;7645513;1662497;2020567;6769838;6033895;4932481;8160689;2648231;6192110;6472020;7713640;3687518;4425054;1671728;3502441;3203192;4398163;861485;1503735;6906388;8303196;5955576;2267944;
4489782;3166845;4724462;5261461;3370651;5108697;2932773;5112316;2992223;0;2235893;2884516;3871146;6523794;2415290;4838290;7339954;2234687;2140244;3867949;726305;2259226;1897429;1786499;5386160;5236296;3770521;2756137;4018974;7474627;3075427;2605166;6629646;2597894;6578358;5065891;5672094;4089983;2541456;4314583;3808398;1591227;4191990;5050550;4386008;3225038;2617928;1932371;5934929;5217416;5138421;5879238;3773670;5553299;5811051;5047882;3337644;3270064;7180374;2241688;4689619;3814869;3706876;5398553;2458859;6584529;2775258;4533196;6251910;4965367;4802180;3016386;3520357;3155801;6333702;2947466;3111467;5242013;1730154;1984197;4715990;4632802;2894108;7307442;2754854;4791017;6172705;6312547;2277535;4536722;1898378;1250595;1213939;4092400;2233233;2159601;4502888;7991880;4537809;1554938;
