0;2150035;3064459;4383696;3922972;4732330;4190608;5977358;4502930;2820000;1998966;5718368;4585021;4895384;3661034;4544021;3105880;4567081;4669548;3954124;7122735;4517825;4007408;6128980;883103;2907975;2763394;3879725;4634179;4069866;4803388;4779942;1458327;3674735;6333398;899015;5960320;5355854;5319840;6276502;5006511;2205770;5740402;2041210;2469092;3822710;4254461;5005615;3790522;4212030;
2152243;0;2557942;4873936;2091174;5222570;6152636;7939386;6016386;873894;3960994;7680396;6547049;6857412;4379975;3177237;5067908;5323598;4821503;5916152;5870443;6479853;5969436;8091008;2353429;1443223;1894917;5306310;5124419;6031894;5293628;5498883;2283226;3250527;7471938;2867627;7922348;5846094;6724619;7415042;3174713;1337293;7702430;1013742;3689064;5319971;2422663;3638831;2506321;6174058;
2711757;2099872;0;3055992;2332724;3348870;5003859;8096594;4198442;1962167;4118202;7837604;6704257;7014620;2562031;2906914;4098753;3505654;2912953;6073360;5135482;6637061;6126644;8248216;3421445;3543095;3976542;5998961;3250719;6189102;3419928;3680939;2242367;5332152;5653994;3438781;8079556;3972394;4906675;5597098;3416263;3418918;7558408;2171453;1871120;5941946;2664213;2760142;1170168;4557750;
3532861;4049029;2548752;0;4281881;2700500;4583336;7919374;3366997;3911324;4268408;7855954;6854463;7164826;1165082;4818844;3678230;1565154;2661327;6223566;5114514;6787267;5732470;7872095;4245534;5492252;5921293;6149167;2602349;5935510;1463053;1740439;3380200;6443047;4001117;3802421;7902336;3324024;3511612;3944221;5365420;5363669;7137885;3659307;1692107;6092152;4613370;3777791;3122643;4137227;
3690924;1973224;2731205;5047199;0;5384884;6995066;9141098;6189649;1919198;5162706;8882108;7748761;8059124;4553238;2152689;6089960;5496861;4729674;7117864;4845895;7681565;7171148;9292720;4308406;3416447;3849894;7043465;5297682;7233606;5466891;5672146;3221534;5205504;7645201;4417948;9124060;5636647;6897882;7588305;1533830;3292270;8904142;2645520;3862327;6986450;781780;2614283;2566441;6548957;
4083030;4272213;2877256;2740286;4373227;0;5836817;8902441;4392166;4118317;4924049;8643451;7510104;7820467;3264883;3530412;4931711;2884673;1057200;6879207;3423355;7442908;6932491;9054063;4795703;5715436;6148883;6804808;561503;6994949;2237252;3165979;3930369;6993216;4802394;4352590;8885403;1361022;4312889;4745498;4866484;5591259;8391366;4209476;2704078;6747793;4530864;2489359;2190671;5390708;
4089767;6066387;4915240;4899108;6648369;6009856;0;3474797;3545506;6277812;3270325;3411377;3055408;3498257;3813417;7222559;2075270;4398080;5947074;2068670;8400261;3174740;1287893;3427518;4799455;6824327;6679746;3397457;5911705;1556039;5126077;4621945;5071290;6378824;5571163;3971605;3457759;6633380;4315294;6003693;7731908;6122122;2693308;5654173;3993410;3340442;6979858;7063538;5902055;957256;
6186875;8163495;8517726;8942947;9633043;9588191;4060940;0;7589345;8530071;4415453;905782;1344686;1289073;7857256;10254092;5826286;8441919;9525409;3041698;11978596;1720592;3077266;502967;6814786;8921435;8069328;3047840;9490040;3879228;9169916;8665784;7168398;7374330;9615002;5963111;334307;10211715;8359133;10047532;10716582;7782589;1486949;7751281;7338556;3155059;9964532;10641873;9500593;5001095;
4119985;5171316;3671039;3231373;5404168;4233410;2975295;6311333;0;5033611;3889974;6247913;5891944;6334793;2150748;5978358;2802083;2040638;4264775;4905206;6919267;6011276;4124429;6264054;4829673;6614539;6709964;5770733;4135259;4335447;2926329;2321944;4384977;6721291;2476752;4200417;6294295;4856934;1220883;3065391;6487707;6152340;5529844;4781594;2749209;5713718;5735657;5636465;4657854;2529186;
2683483;738837;2209127;4525121;1945338;4873755;6346907;8133657;5667571;0;4155265;7874667;6741320;7051683;4031160;3012830;5262179;4974783;4574513;6110423;5706036;6674124;6163707;8285279;3054476;2182060;2595964;6007357;4775604;6226165;4944813;5150068;2214093;3951574;7123123;3410507;8116619;5497279;6375804;7066227;3028877;2038340;7896701;1196158;3340249;5979009;2276827;3474424;2259331;6026879;
