100 
36000000 
27466;0;0;0;21600000;57600000
20268;8;2;1053080;36000000;54000000
19794;32;7;1317296;43200000;57600000
25473;30;6;1149363;21600000;46800000
22831;20;4;1359489;43200000;57600000
28443;30;6;1495283;32400000;43200000
13878;31;7;1109969;25200000;43200000
703;13;3;1319989;43200000;57600000
1382;16;4;779299;25200000;46800000
8824;15;3;1520447;25200000;50400000
8024;5;1;1092413;25200000;46800000
16596;7;2;1125527;32400000;50400000
2328;31;7;1662065;39600000;57600000
31311;25;5;1512243;32400000;54000000
11059;10;2;1444136;25200000;46800000
9488;33;7;933574;32400000;50400000
32529;36;8;1306674;39600000;50400000
2259;38;8;1336299;39600000;50400000
9861;5;1;758618;39600000;50400000
21287;13;3;623026;32400000;54000000
8611;27;6;1347518;43200000;54000000
7129;27;6;1500399;25200000;54000000
5842;10;2;1201217;32400000;46800000
3504;9;2;1330760;28800000;39600000
24866;19;4;1670267;39600000;50400000
1882;15;3;1429446;25200000;57600000
22751;28;6;818517;21600000;50400000
18599;28;6;1370003;36000000;57600000
2662;12;3;822193;25200000;50400000
32757;21;5;691145;25200000;36000000
20279;29;6;1115367;32400000;46800000
19436;9;2;1323419;32400000;43200000
32076;21;5;1097811;25200000;54000000
1387;34;7;1086135;32400000;50400000
8361;32;7;1317010;36000000;54000000
26049;37;8;1390671;39600000;50400000
29493;32;7;825140;21600000;50400000
23841;20;4;689763;39600000;54000000
1736;38;8;1438671;32400000;57600000
11600;21;5;763383;28800000;43200000
21893;3;1;1290672;32400000;43200000
7329;25;5;1261928;39600000;54000000
11370;6;2;1242427;25200000;43200000
21795;18;4;1324871;25200000;54000000
9253;26;6;1451149;25200000;43200000
17433;20;4;733217;43200000;54000000
7209;28;6;1214753;25200000;57600000
3498;39;8;2120152;28800000;46800000
27650;20;4;1259704;28800000;43200000
26842;34;7;795937;25200000;43200000
16101;1;1;1342565;36000000;54000000
30649;8;2;1060194;39600000;50400000
19852;22;5;1730397;21600000;43200000
28634;18;4;1263756;36000000;57600000
27201;4;1;1235955;28800000;54000000
9991;36;8;587243;32400000;54000000
4920;36;8;1171242;43200000;57600000
22579;23;5;1323592;39600000;54000000
32545;26;6;1063737;32400000;57600000
13488;3;1;1489632;39600000;57600000
22526;21;5;1441635;25200000;50400000
5539;5;1;1143013;28800000;50400000
6194;17;4;777592;28800000;50400000
25012;1;1;1302939;25200000;39600000
15835;8;2;1357153;28800000;46800000
31498;17;4;1265376;21600000;39600000
18530;29;6;1274723;28800000;46800000
18806;10;2;1028638;25200000;57600000
13393;29;6;1279809;39600000;54000000
13550;12;3;1378250;36000000;57600000
26980;6;2;992025;43200000;57600000
9278;35;7;1266814;39600000;57600000
20194;22;5;1428228;39600000;50400000
21498;21;5;1140397;28800000;54000000
31277;18;4;1338789;43200000;54000000
6583;7;2;1498150;39600000;50400000
11160;22;5;945753;25200000;50400000
26490;4;1;1436377;28800000;54000000
3450;16;4;766636;43200000;54000000
9073;7;2;1555422;43200000;54000000
27009;5;1;1510506;43200000;57600000
10209;4;1;1614607;32400000;57600000
18504;5;1;1240302;21600000;43200000
32608;1;1;1722228;36000000;54000000
12075;34;7;1487433;28800000;43200000
12612;27;6;803516;25200000;39600000
28762;20;4;1539974;32400000;43200000
12891;3;1;1554007;28800000;54000000
16684;28;6;858817;39600000;50400000
19933;25;5;1202148;39600000;50400000
2742;2;1;662296;28800000;54000000
6814;16;4;961733;32400000;57600000
10397;17;4;1357916;43200000;54000000
20616;24;5;1271239;25200000;50400000
2600;13;3;1334623;25200000;39600000
4681;34;7;1257928;25200000;54000000
27033;36;8;1033215;36000000;57600000
32585;26;6;1126096;36000000;54000000
3518;3;1;797963;36000000;50400000
8671;0;39;0;21600000;57600000
